Census_geoid,Urban_name,CUHI_day_summer,Tree Area (%),Median Income (K)
25025060600,"Boston, MA--NH--RI",0.5210455302,1.645233543,100.946
25021420301,"Boston, MA--NH--RI",0.2686238576,69.40523005,43.265
25017350500,"Boston, MA--NH--RI",1.122238265,33.72240925,61.442
25009217201,"Boston, MA--NH--RI",0.3488674912,65.43412394,59.971
25021417200,"Boston, MA--NH--RI",0.6271374405,31.6598496,52.356
25023505102,"Boston, MA--NH--RI",-0.3888033842,93.04973365,98.354
25025080300,"Boston, MA--NH--RI",1.070047211,29.40974449,40.309
25021456200,"Boston, MA--NH--RI",0.04088772603,73.68258075,56.97
25025081400,"Boston, MA--NH--RI",1.031075571,41.83936288,46.569
25009221300,"Boston, MA--NH--RI",-0.3402875001,43.29334845,71.917
25023507104,"Boston, MA--NH--RI",-0.3678342317,32.3867066,97.5
25017370102,"Boston, MA--NH--RI",1.080995065,34.07090341,65.957
25017354900,"Boston, MA--NH--RI",1.002946957,35.94867168,57.436
25017335301,"Boston, MA--NH--RI",0.3961723947,72.12396758,65.542
25023523100,"Boston, MA--NH--RI",0.01560976122,82.88426914,51.151
25025080900,"Boston, MA--NH--RI",1.032411778,24.58879737,51.424
25017368300,"Boston, MA--NH--RI",0.7485579141,40.53944114,52.247
25025081900,"Boston, MA--NH--RI",0.9281678481,36.8421205,31.3
25017350400,"Boston, MA--NH--RI",1.134410753,28.88798506,69.922
25023506204,"Boston, MA--NH--RI",-0.4501677661,17.79991521,62.5
25017351000,"Boston, MA--NH--RI",1.11123685,28.95292614,59.535
25009266100,"Boston, MA--NH--RI",-0.005010974044,67.75142129,67.708
25017341800,"Boston, MA--NH--RI",0.9270484193,18.81441487,42.383
25017363104,"Boston, MA--NH--RI",0.2314617819,84.42307722,115.275
25025981100,"Boston, MA--NH--RI",0.6353293329,55.04434072,43.438
25025010103,"Boston, MA--NH--RI",1.030726186,7.551642242,42.371
25025010701,"Boston, MA--NH--RI",0.8296907975,24.48267307,86.625
25025020301,"Boston, MA--NH--RI",0.9681996655,12.80081856,81.25
25025010801,"Boston, MA--NH--RI",0.7478502157,18.71490157,101.25
25025010802,"Boston, MA--NH--RI",0.8477736714,17.39605549,97.697
25017384001,"Boston, MA--NH--RI",0.1444025629,53.20598566,65.724
25017369000,"Boston, MA--NH--RI",0.2935327723,73.04935341,77.868
25017350600,"Boston, MA--NH--RI",1.100838802,26.15426123,75.417
25017353700,"Boston, MA--NH--RI",1.052070944,28.1209181,72.81
25021412200,"Boston, MA--NH--RI",-0.1116478718,89.56379613,125
25017383502,"Boston, MA--NH--RI",0.4565491417,63.49277358,62.264
25025030500,"Boston, MA--NH--RI",0.7389014654,1.410987153,74.34
25009253203,"Boston, MA--NH--RI",0.021847785,69.31924971,106.22
25009254301,"Boston, MA--NH--RI",0.1916209908,81.78364218,96.842
25017354000,"Boston, MA--NH--RI",1.005441533,46.25876245,77.846
25017315401,"Boston, MA--NH--RI",0.453045905,62.28387339,64.464
25025010104,"Boston, MA--NH--RI",0.8599583198,11.7282561,71.726
25025160300,"Boston, MA--NH--RI",0.9233187311,18.08127171,56.488
25009221800,"Boston, MA--NH--RI",-0.1517355788,50.37345645,73.125
25025070402,"Boston, MA--NH--RI",0.8676653349,6.099462132,40.536
25017374800,"Boston, MA--NH--RI",0.5036035916,64.01339681,96.25
25017367100,"Boston, MA--NH--RI",0.02860966897,95.9279515,147.115
25017317301,"Boston, MA--NH--RI",0.5538495509,64.80700592,72.574
25021441202,"Boston, MA--NH--RI",-0.2211855952,82.58368928,89.318
25017353800,"Boston, MA--NH--RI",1.015140652,36.03353023,74.082
25017374000,"Boston, MA--NH--RI",0.5008683642,73.18094852,100.633
25023542102,"Boston, MA--NH--RI",-0.3969737813,76.98675964,59.773
44007011402,"Boston, MA--NH--RI",-0.2204580645,81.06225569,71.05
25025080601,"Boston, MA--NH--RI",1.055572516,10.93301431,44.211
25027741102,"Boston, MA--NH--RI",-0.02853316156,80.14143579,104.489
25009254403,"Boston, MA--NH--RI",0.2096339337,82.70930823,94.489
25017337201,"Boston, MA--NH--RI",0.469308933,62.59831273,60.972
25021404302,"Boston, MA--NH--RI",0.3056702979,74.0957859,123.098
25017320103,"Boston, MA--NH--RI",-0.2292581766,85.28056237,100.357
25023540102,"Boston, MA--NH--RI",-0.3975399484,42.04089926,53.704
25009215101,"Boston, MA--NH--RI",-0.1651771777,77.14400919,98.355
25017352800,"Boston, MA--NH--RI",1.172651732,22.11736496,60.551
25025070800,"Boston, MA--NH--RI",0.8063351314,30.87363423,94.516
25017361100,"Boston, MA--NH--RI",0.09503648153,76.95272478,121.125
25021409101,"Boston, MA--NH--RI",-0.05323096577,84.06394377,73.218
25017355000,"Boston, MA--NH--RI",1.090791046,32.32026819,73.025
25021400300,"Boston, MA--NH--RI",1.129708834,55.70218508,79.071
25025000302,"Boston, MA--NH--RI",0.915446332,52.75931243,56.055
25017367200,"Boston, MA--NH--RI",0.02506989791,84.14482327,155.104
25017334200,"Boston, MA--NH--RI",0.4623369781,78.2246328,77.083
25017358500,"Boston, MA--NH--RI",0.197772198,91.52715898,122.991
25021400600,"Boston, MA--NH--RI",0.5660936883,77.50853305,69.327
25017382100,"Boston, MA--NH--RI",0.2732608,78.24232152,83.072
25017321400,"Boston, MA--NH--RI",0.17127823,64.53653156,76.176
25021401100,"Boston, MA--NH--RI",0.3029927166,81.30392671,124.275
25021411302,"Boston, MA--NH--RI",-0.02811825313,83.02841534,77.4
